iter	R2	RMSE
0	-72.06018434	8.077448493
1	-37.78981566	5.885626161
2	-19.81411275	4.311344899
3	-10.37072119	3.186601975
4	-5.426376255	2.395614263
5	-2.751080523	1.830256716
6	-1.382367592	1.458606692
7	-0.6254052741	1.204799137
8	-0.2284169734	1.047385892
9	-0.02882889794	0.9585292998
10	0.08568121121	0.9036133482
11	0.1562748586	0.8680291519
12	0.2056703632	0.8422367721
13	0.2358804454	0.826065477
14	0.2506062458	0.818066955
15	0.2668733387	0.8091393501
16	0.2800744274	0.8018213496
17	0.2910417479	0.7956904516
18	0.2998502238	0.7907319602
19	0.3089573187	0.7855724628
20	0.3159341311	0.7815968071
21	0.3236854266	0.7771559716
22	0.3297202356	0.7736808897
23	0.3357356502	0.7702013722
24	0.3423906342	0.7663334991
25	0.3481252089	0.7629848399
26	0.3534183665	0.759880846
27	0.3591187124	0.7565238276
28	0.3645053917	0.7533377847
29	0.3693346559	0.7504699357
30	0.373462725	0.7480097736
31	0.3789054829	0.7447536893
32	0.3833155116	0.742104949
33	0.3877453813	0.7394347398
34	0.3921735398	0.7367558901
35	0.3963509815	0.7342197541
36	0.4006571502	0.7315962653
37	0.4043652404	0.7293295878
38	0.4086206173	0.7267196533
39	0.4126434154	0.7242437173
40	0.4162235868	0.722033067
41	0.4196896677	0.7198863969
42	0.423149794	0.7177370107
43	0.4268374026	0.7154392074
44	0.4298377542	0.7135641847
45	0.4330743837	0.7115359639
46	0.4362319971	0.7095516712
47	0.4393121402	0.7076107008
48	0.4423190658	0.7057107193
49	0.4454338844	0.7037371546
50	0.4482271306	0.7019626208
51	0.4507515035	0.7003550329
52	0.4532788415	0.6987418516
53	0.4559590674	0.697027004
54	0.4584506864	0.6954290371
55	0.4608437834	0.6938907915
56	0.4632850808	0.6923180416
57	0.4656991808	0.6907592917
58	0.4680539024	0.6892354855
59	0.4704537336	0.6876790134
60	0.4728105136	0.6861470269
61	0.4752324642	0.6845691054
62	0.4775811247	0.6830354516
63	0.4798221543	0.6815688624
64	0.4820021457	0.6801391838
65	0.4841527924	0.6787257991
66	0.4863596887	0.6772723814
67	0.4884925162	0.675864774
68	0.4904900694	0.6745437801
69	0.4923693597	0.6732986281
70	0.4943815471	0.6719628653
71	0.4962968714	0.6706889323
72	0.4981904963	0.669427049
73	0.4998523533	0.6683176493
74	0.5015309866	0.6671951776
75	0.503304636	0.6660071149
76	0.5049911052	0.6648754802
77	0.5068258039	0.6636421906
78	0.5085080556	0.6625093587
79	0.5102413595	0.6613401185
80	0.5117346677	0.6603311127
81	0.5135208562	0.6591221835
82	0.5152150353	0.6579734755
83	0.5167711786	0.6569165904
84	0.5182971822	0.6558785214
85	0.5199505074	0.6547519839
86	0.5215148527	0.6536842877
87	0.5230324579	0.6526468234
88	0.5246250611	0.6515563127
89	0.5261379371	0.6505187007
90	0.5276443692	0.6494838613
91	0.5290878128	0.6484907423
92	0.5304647436	0.6475419661
93	0.5318933131	0.6465561366
94	0.5332582342	0.6456128235
95	0.5346387894	0.6446573014
96	0.5360974825	0.6436461565
97	0.5375191585	0.6426591404
98	0.5388661905	0.6417225463
99	0.5402187715	0.6407807165
