iter	R2	RMSE
0	-71.05546183	8.076049659
1	-37.26251459	5.885078793
2	-19.53653373	4.311507035
3	-10.22459868	3.187505472
4	-5.34895216	2.397267817
5	-2.70796334	1.832032795
6	-1.357069286	1.460668629
7	-0.6099551909	1.207181085
8	-0.2181317811	1.050056493
9	-0.01669401619	0.9593137326
10	0.106652291	0.8992403619
11	0.1712026473	0.8661432103
12	0.2111484521	0.8450125688
13	0.237345174	0.830863229
14	0.2600750472	0.8183882105
15	0.2790817907	0.8078086985
16	0.2916075955	0.8007601932
17	0.2987801448	0.7966959879
18	0.3080473236	0.7914139924
19	0.3153918026	0.7872027004
20	0.3216508748	0.7835959133
21	0.3292560617	0.7791909611
22	0.3359552394	0.7752900404
23	0.343494868	0.7708761164
24	0.3502108834	0.7669229678
25	0.3559668069	0.7635186563
26	0.3624922771	0.7596407482
27	0.3686967507	0.7559351502
28	0.3737622255	0.7528962915
29	0.3782019249	0.7502227234
30	0.3825207173	0.747612791
31	0.3877808777	0.7444216117
32	0.3918839278	0.7419228871
33	0.3963752384	0.7391780316
34	0.4009901072	0.7363470058
35	0.4058762667	0.7333376431
36	0.4099081701	0.7308450815
37	0.4141017647	0.7282435095
38	0.4178385881	0.7259174483
39	0.4212853444	0.7237653175
40	0.4249149747	0.721492062
41	0.4286812379	0.7191256357
42	0.4320648662	0.716992967
43	0.4354183965	0.7148729911
44	0.4388351259	0.7127065778
45	0.4420081435	0.7106887784
46	0.4453482625	0.7085585071
47	0.4482994782	0.706670928
48	0.4511862951	0.7048196471
49	0.4541632555	0.7029054518
50	0.456987839	0.7010844033
51	0.4597561387	0.6992950403
52	0.4624631666	0.6975408432
53	0.4649154734	0.6959478923
54	0.4674075659	0.6943253537
55	0.4699079294	0.6926936105
56	0.4725156825	0.6909876795
57	0.4750390101	0.6893329587
58	0.4774500494	0.6877481537
59	0.4798947471	0.6861374872
60	0.4821781458	0.6846296686
61	0.4843774692	0.6831742218
62	0.4865143242	0.6817571388
63	0.4887467937	0.6802734948
64	0.490860081	0.6788660688
65	0.4930252579	0.6774210524
66	0.4951786017	0.6759808695
67	0.4973008422	0.6745584804
68	0.4993025082	0.67321415
69	0.5011561253	0.6719668516
70	0.5030767857	0.6706719927
71	0.5048833282	0.6694517834
72	0.506792934	0.6681595385
73	0.5084528004	0.6670342604
74	0.5101286704	0.6658962037
75	0.5119198899	0.6646776606
76	0.5137132136	0.6634554441
77	0.5154326395	0.6622814737
78	0.5171581453	0.6611012563
79	0.518867811	0.6599297915
80	0.5204926767	0.6588145012
81	0.5220976455	0.6577110113
82	0.5236286685	0.6566566343
83	0.525206719	0.6555680959
84	0.5268409986	0.6544388623
85	0.5282785427	0.6534439532
86	0.5299132647	0.6523107354
87	0.5313715781	0.6512981432
88	0.5328519037	0.6502686538
89	0.5343140772	0.6492501859
90	0.5358019807	0.6482121531
91	0.5372473502	0.6472022
92	0.5386662258	0.6462092241
93	0.5400665967	0.6452277001
94	0.5414453113	0.6442598942
95	0.5428041791	0.6433045953
96	0.5442191497	0.6423083455
97	0.545549835	0.6413700272
98	0.5468834186	0.6404282859
99	0.5481422399	0.6395380675
