iter	R2	RMSE
0	-71.20854036	8.074926399
1	-37.34320425	5.884214433
2	-19.57975157	4.310864312
3	-10.24751393	3.186930255
4	-5.361786581	2.396811265
5	-2.715970316	1.831809924
6	-1.362571821	1.460618507
7	-0.6129990208	1.20687236
8	-0.2198861357	1.049551943
9	-0.02231465623	0.960807939
10	0.0923291898	0.9053332565
11	0.1670317563	0.867278363
12	0.211293081	0.8439216235
13	0.2411126831	0.8278143237
14	0.2601709072	0.8173536232
15	0.2758873695	0.8086253476
16	0.2894266532	0.8010299347
17	0.2965274939	0.7970174935
18	0.3045636442	0.7924520347
19	0.3119060366	0.7882575939
20	0.3183535204	0.7845558905
21	0.3259258449	0.7801859543
22	0.3325801314	0.7763255059
23	0.3407252971	0.7715738412
24	0.3473822799	0.7676684998
25	0.353465878	0.7640820806
26	0.3610257677	0.7596017592
27	0.3671458815	0.7559552627
28	0.3727578437	0.7525960056
29	0.3784173855	0.7491930137
30	0.3835336403	0.7461033339
31	0.3882790383	0.7432261313
32	0.3924703931	0.7406755576
33	0.3959810772	0.7385324149
34	0.4002244747	0.7359336469
35	0.4036158822	0.7338500431
36	0.4078986951	0.731210297
37	0.4120647859	0.7286333174
38	0.4160202347	0.7261781697
39	0.4198974351	0.7237635079
40	0.4240230283	0.7211852728
41	0.4277426961	0.7188527883
42	0.4313013545	0.7166141616
43	0.4348801481	0.7143557936
44	0.4384465003	0.7120981517
45	0.4418651187	0.7099272916
46	0.4451393915	0.7078418505
47	0.4483093557	0.705816975
48	0.4516632743	0.7036682513
49	0.4547763627	0.7016679298
50	0.4579069972	0.6996505667
51	0.4607508502	0.6978129486
52	0.4634360356	0.6960734043
53	0.4661379472	0.6943186253
54	0.4686195627	0.6927030029
55	0.4709976259	0.6911512534
56	0.4733183187	0.6896335734
57	0.4758029728	0.6880049553
58	0.4782317871	0.6864092038
59	0.4806487027	0.6848175788
60	0.4830466991	0.6832347483
61	0.485394149	0.6816817219
62	0.4877182773	0.6801406311
63	0.4899825089	0.6786358914
64	0.4922223978	0.677144039
65	0.4941710662	0.6758434719
66	0.496192431	0.6744917366
67	0.4980823381	0.6732254551
68	0.5000925589	0.6718759413
69	0.5019875809	0.6706012768
70	0.5039899186	0.6692517897
71	0.505896814	0.6679640919
72	0.507736079	0.6667197077
73	0.5094928077	0.6655289924
74	0.511371048	0.6642535551
75	0.5131420709	0.6630486775
76	0.5149097397	0.6618438945
77	0.5166837865	0.6606325555
78	0.5184439046	0.6594285282
79	0.5200469432	0.6583300366
80	0.5215752074	0.6572810753
81	0.5232602305	0.6561225748
82	0.5248766703	0.6550093016
83	0.5263587364	0.6539869088
84	0.5279482971	0.6528885823
85	0.5294722511	0.6518338499
86	0.5310057711	0.6507707712
87	0.5324268364	0.6497840966
88	0.5339102814	0.6487525097
89	0.5352322175	0.6478318518
90	0.53659776	0.6468794486
91	0.5379587863	0.6459287979
92	0.5393766832	0.6449369338
93	0.5407766738	0.6439560969
94	0.5421296752	0.643006759
95	0.5434835928	0.6420553731
96	0.5447428707	0.6411692226
97	0.5459849864	0.6402939476
98	0.5472835403	0.6393776216
99	0.5485418166	0.638488463
