iter	R2	RMSE
0	-71.18316632	8.076859546
1	-37.32967458	5.88561883
2	-19.57223258	4.311866233
3	-10.24326213	3.187650765
4	-5.359149082	2.397309298
5	-2.714824255	1.832287854
6	-1.362100442	1.461079162
7	-0.614597215	1.207971439
8	-0.2225697128	1.051141984
9	-0.02504871384	0.9624913142
10	0.08849807183	0.9076185476
11	0.1633882315	0.8695339659
12	0.207475324	0.8463129047
13	0.2383992021	0.8296372851
14	0.2586396507	0.8185387497
15	0.2745159013	0.8097268034
16	0.2881012998	0.8021095118
17	0.2952263282	0.7980854668
18	0.3045034414	0.7928153666
19	0.3118240769	0.7886318333
20	0.3192742379	0.7843513707
21	0.326669479	0.7800792338
22	0.3333719402	0.7761869944
23	0.3414072994	0.7714948351
24	0.3481163991	0.7675551578
25	0.3534955701	0.7643817667
26	0.3601322806	0.7604482538
27	0.3648919648	0.7576146606
28	0.3702877068	0.75438953
29	0.3755670611	0.7512205651
30	0.3814556857	0.7476700361
31	0.3858008721	0.7450392696
32	0.3892884686	0.7429209864
33	0.3933026188	0.7404753857
34	0.3977169056	0.7377766448
35	0.4021145272	0.7350782404
36	0.4065583491	0.7323413875
37	0.4106030201	0.7298414414
38	0.415079035	0.7270648688
39	0.419495753	0.7243146464
40	0.4237121153	0.7216794041
41	0.4273497556	0.7193981086
42	0.4310376206	0.7170779068
43	0.4347218218	0.7147524895
44	0.4379813103	0.7126888191
45	0.441499964	0.710454336
46	0.4445660434	0.7085015096
47	0.447622496	0.7065494426
48	0.4508504543	0.7044819671
49	0.4539814554	0.7024707783
50	0.4566775073	0.7007343526
51	0.4591472109	0.6991399245
52	0.4616523383	0.6975189036
53	0.4641707426	0.6958854853
54	0.4666869121	0.6942496785
55	0.4691990457	0.6926126415
56	0.4717416223	0.6909518168
57	0.4739411796	0.6895118269
58	0.4761909333	0.6880358571
59	0.4786674943	0.6864074188
60	0.4810397946	0.6848439049
61	0.4834721763	0.6832370781
62	0.4857912689	0.681701563
63	0.4882344491	0.680080137
64	0.4902931765	0.6787108473
65	0.4923525618	0.6773383507
66	0.494477771	0.6759190631
67	0.4966028937	0.6744968469
68	0.4986079611	0.6731522216
69	0.5004955115	0.6718839458
70	0.5022174256	0.6707248719
71	0.5039410521	0.6695626358
72	0.5056523903	0.6684066865
73	0.5075245104	0.6671398405
74	0.5092999502	0.6659361907
75	0.5111699235	0.6646660954
76	0.5129780393	0.663435702
77	0.5148416502	0.6621651525
78	0.5164094435	0.6610943906
79	0.5181656179	0.6598929062
80	0.519854842	0.6587351581
81	0.5214010194	0.6576736638
82	0.5229836937	0.656585336
83	0.5245245059	0.6555240589
84	0.5260457683	0.6544745589
85	0.5274880226	0.6534780091
86	0.5289589017	0.6524601129
87	0.5303744498	0.6514790058
88	0.5318197969	0.6504757182
89	0.5332989609	0.649447352
90	0.5347405307	0.6484435533
91	0.5361215087	0.6474804866
92	0.5375090412	0.6465114042
93	0.5389319575	0.6455160979
94	0.5403595061	0.644516007
95	0.5417373161	0.6435492872
96	0.5431402076	0.642563475
97	0.5445722406	0.6415556228
98	0.5458266688	0.6406714646
99	0.5472141383	0.6396921116
