iter	R2	RMSE
0	-71.17245302	8.075575203
1	-37.32407961	5.884690134
2	-19.56939836	4.31120354
3	-10.24175045	3.187166139
4	-5.357890669	2.396868789
5	-2.712739195	1.831618216
6	-1.359703005	1.460213655
7	-0.6108938029	1.206482948
8	-0.2181813867	1.049164802
9	-0.01622961479	0.9582606531
10	0.1070972099	0.898234688
11	0.1709229952	0.8655360626
12	0.2151947353	0.8421097321
13	0.2449829596	0.8259734913
14	0.2633567651	0.8158613036
15	0.2785797392	0.8073872747
16	0.2920194192	0.7998313183
17	0.299068022	0.7958398276
18	0.308431521	0.7905062861
19	0.3173677072	0.7853823684
20	0.3256814416	0.7805851569
21	0.3320705204	0.7768783854
22	0.3378109094	0.7735328172
23	0.3440028634	0.7699077733
24	0.3507243294	0.7659533101
25	0.3569807207	0.7622540311
26	0.3632019419	0.7585576591
27	0.3688461627	0.7551884621
28	0.3741246651	0.7520239137
29	0.3796488974	0.7486977221
30	0.3839151237	0.7461188403
31	0.3885375404	0.7433145467
32	0.3928942232	0.7406617471
33	0.3974312534	0.7378889959
34	0.4017662964	0.735229918
35	0.4060912634	0.7325674023
36	0.410622492	0.7297674889
37	0.4149776254	0.7270662254
38	0.4190977457	0.7245014575
39	0.4228997007	0.7221266658
40	0.4263339077	0.719974845
41	0.4298076675	0.7177916783
42	0.4333738807	0.7155434779
43	0.4365779226	0.7135175553
44	0.4396199234	0.7115887538
45	0.4427687062	0.7095867243
46	0.4459028258	0.7075883929
47	0.4488627972	0.7056959036
48	0.4518409218	0.703786672
49	0.4546880664	0.7019565544
50	0.4574608142	0.7001696607
51	0.4603424168	0.6983077704
52	0.4630054468	0.6965826817
53	0.4655114142	0.6949554261
54	0.468062956	0.6932946524
55	0.4703928308	0.6917746771
56	0.4729238772	0.6901196667
57	0.4754410588	0.6884697764
58	0.4778938318	0.6868582904
59	0.480415401	0.6851976541
60	0.4829186256	0.6835451085
61	0.4853738693	0.6819203481
62	0.4877547175	0.6803411133
63	0.4900279721	0.6788298175
64	0.4920660907	0.6774719775
65	0.494108051	0.6761088435
66	0.4960521225	0.6748084975
67	0.4981561898	0.6733983044
68	0.5001568613	0.672054665
69	0.5020881202	0.6707550896
70	0.5038516078	0.6695662071
71	0.5056358513	0.6683611794
72	0.5075001351	0.6670997693
73	0.5092830679	0.6658911674
74	0.5109787441	0.6647396757
75	0.5127028164	0.6635668523
76	0.5145280485	0.6623229504
77	0.5161591931	0.6612093397
78	0.5177912694	0.6600932127
79	0.5193521728	0.6590239901
80	0.5209381446	0.657935816
81	0.5224849946	0.6568727477
82	0.5241085964	0.6557550783
83	0.5256632287	0.6546830984
84	0.5271623308	0.6536477439
85	0.5286371524	0.6526275558
86	0.5301526482	0.6515775679
87	0.5315254684	0.6506249679
88	0.5330441016	0.6495695608
89	0.5346172942	0.6484744251
90	0.5360474308	0.6474772665
91	0.5374834721	0.6464744435
92	0.5389167228	0.6454720157
93	0.5404472946	0.6443997988
94	0.5418520453	0.6434141514
95	0.5433081648	0.6423908646
96	0.5447143953	0.6414010877
97	0.5461663206	0.6403775432
98	0.5475797117	0.6393795898
99	0.5489565849	0.6384059205
