iter	R2	RMSE
0	-71.19846645	8.081718454
1	-37.33800258	5.889175157
2	-19.57739647	4.314544403
3	-10.24701069	3.189762031
4	-5.361607818	2.398960937
5	-2.715741899	1.83342226
6	-1.362398539	1.461895445
7	-0.6142223565	1.208429752
8	-0.2218419178	1.05134981
9	-0.01969272191	0.9604491798
10	0.09375394425	0.9054465013
11	0.1691262751	0.8669763345
12	0.2125846069	0.8439985111
13	0.238812503	0.8298231632
14	0.2590513342	0.8187169663
15	0.278163467	0.8080889338
16	0.292231617	0.8001756095
17	0.2995064099	0.7960526878
18	0.3073392453	0.7915894931
19	0.3158460936	0.7867135598
20	0.3227648849	0.7827254672
21	0.3309354687	0.777989497
22	0.337723788	0.7740326998
23	0.3452792089	0.7696048509
24	0.3517378275	0.7657994858
25	0.3574515077	0.7624171988
26	0.3630061612	0.7591146032
27	0.3677394854	0.7562889594
28	0.372203302	0.7536144962
29	0.3768497322	0.7508205024
30	0.3808438434	0.7484104244
31	0.3857499641	0.745439369
32	0.3903513288	0.7426420666
33	0.3948343905	0.7399065129
34	0.3989306191	0.7373981315
35	0.4031623402	0.7347977869
36	0.4075575849	0.7320871806
37	0.4118834239	0.7294095419
38	0.4161152678	0.7267805392
39	0.4199655378	0.7243802969
40	0.4234890382	0.7221767707
41	0.4271893075	0.7198554356
42	0.4309808989	0.7174690194
43	0.4344069627	0.715305818
44	0.4375497639	0.7133156984
45	0.4407144508	0.7113060938
46	0.4438552308	0.709306041
47	0.4469523511	0.7073282528
48	0.4497224505	0.7055545998
49	0.4525409807	0.7037453492
50	0.455333335	0.7019483028
51	0.4579307519	0.7002725703
52	0.4606136939	0.6985374403
53	0.4629500758	0.6970229215
54	0.4653932688	0.6954356363
55	0.4679143072	0.69379397
56	0.4704716334	0.6921246952
57	0.4729790585	0.6904840747
58	0.4753252379	0.68894542
59	0.4777199011	0.6873714173
60	0.4801482871	0.6857715594
61	0.4826338883	0.6841301326
62	0.4846821727	0.6827745328
63	0.4868217508	0.6813556328
64	0.48890535	0.6799710106
65	0.4909859213	0.6785855814
66	0.4931115285	0.6771672361
67	0.49520729	0.6757658914
68	0.4970739899	0.6745152587
69	0.4990078035	0.6732172119
70	0.5010009462	0.6718767168
71	0.5028143607	0.6706547706
72	0.5047815133	0.6693267075
73	0.5066391037	0.6680701883
74	0.508395535	0.666879918
75	0.5102551679	0.665617392
76	0.5119322217	0.6644767639
77	0.5137419042	0.6632437295
78	0.5154032699	0.6621097297
79	0.5170941811	0.6609535652
80	0.5186023304	0.6599206556
81	0.5203114421	0.658748152
82	0.5219285018	0.6576368743
83	0.523574784	0.656503582
84	0.5251334137	0.6554288233
85	0.5266838064	0.6543579933
86	0.5282279694	0.6532897213
87	0.5298138946	0.6521907362
88	0.5312939485	0.6511634427
89	0.5326825483	0.650198151
90	0.5341090711	0.6492050023
91	0.53552057	0.6482208157
92	0.5368781234	0.6472728315
93	0.538325299	0.6462607325
94	0.5396000122	0.6453679323
95	0.5407264601	0.6445779469
96	0.542028592	0.6436635449
97	0.543366417	0.6427227231
98	0.5447107967	0.6417759023
99	0.546130641	0.6407744143
