iter	RMSE
0	0.9306711857
1	0.9135313278
2	0.8990716106
3	0.8853177014
4	0.8735427308
5	0.8620740862
6	0.8504007334
7	0.8413107683
8	0.8321406876
9	0.8226413306
10	0.8145300847
11	0.8069633842
12	0.7997445254
13	0.7929142606
14	0.7870175288
15	0.782195229
16	0.776805173
17	0.7712624321
18	0.7659829181
19	0.761449878
20	0.7559762834
21	0.752131367
22	0.7474616829
23	0.7438174719
24	0.7398925359
25	0.7361357855
26	0.7324635085
27	0.7288089497
28	0.7248665225
29	0.7214211331
30	0.7180191807
31	0.7147475414
32	0.7114581595
33	0.7083232212
34	0.7058185343
35	0.7033014739
36	0.7007205295
37	0.6977587029
38	0.6950813032
39	0.6928362244
40	0.6904886953
41	0.6881774006
42	0.6862643325
43	0.68360554
44	0.6818437725
45	0.6791854955
46	0.6767952825
47	0.6746581272
48	0.672303215
49	0.6698173956
50	0.6677806386
51	0.6657290663
52	0.6633495445
53	0.6615750022
54	0.6595487044
55	0.6573544626
56	0.6556759093
57	0.6540861279
58	0.6525631911
59	0.651083948
60	0.6495751995
61	0.6483281468
62	0.6464796797
63	0.6448444157
64	0.6433358748
65	0.6419152029
66	0.6403478431
67	0.6385389929
68	0.6368541679
69	0.6350920756
70	0.6333844846
71	0.6321043939
72	0.6301352565
73	0.6283885621
74	0.6268636462
75	0.6257776843
76	0.6245510851
77	0.6236158391
78	0.6224544832
79	0.6207645212
80	0.6195361081
81	0.6182655008
82	0.6173172665
83	0.6164021568
84	0.6148036223
85	0.6138059478
86	0.6126839567
87	0.6115126606
88	0.6100129513
89	0.6088631244
90	0.6075579852
91	0.6065804348
92	0.6056319026
93	0.6042770602
94	0.6025093122
95	0.6016653265
96	0.5995608527
97	0.5986156311
98	0.5978004621
99	0.5965191991
100	0.5955873115
101	0.5944422292
102	0.5934620888
103	0.5920523957
104	0.591153248
105	0.589680082
106	0.5888706472
107	0.5874828793
108	0.5867008701
109	0.5857921437
110	0.584562146
111	0.5835912468
112	0.5826930151
113	0.5813952914
114	0.5803950014
115	0.579615257
116	0.5787023919
117	0.5779529027
118	0.5768222035
119	0.576072632
120	0.5750409572
121	0.5740034058
122	0.5730350751
123	0.5720095146
124	0.5712996642
125	0.5706577363
126	0.5699545355
127	0.5690717123
128	0.568163908
129	0.5673386428
130	0.566247244
131	0.5651109802
132	0.5642066493
133	0.5631866558
134	0.5626080091
135	0.5618182923
136	0.561294797
137	0.5607414197
138	0.5599180467
139	0.5590957201
140	0.5585480957
141	0.5575118719
142	0.556647342
143	0.5559051708
144	0.5551358034
145	0.5541410978
146	0.5533000487
147	0.5524798453
148	0.5516093994
149	0.5507721174
150	0.5500801454
151	0.5493032961
152	0.5485083164
153	0.5476453787
154	0.546268992
155	0.545407004
156	0.5447692716
157	0.5440377361
158	0.5432306956
159	0.5424199415
160	0.5416833799
161	0.5407667665
162	0.5399198655
163	0.5391557007
164	0.5382523383
165	0.5374551746
166	0.5366766801
167	0.5359350826
168	0.5349212428
169	0.5342067384
170	0.5333264213
171	0.5325209069
172	0.5317354904
173	0.5309598252
174	0.5301990232
175	0.5293084959
176	0.5285692469
177	0.5275155623
178	0.5267702046
179	0.5260512389
180	0.5253178408
181	0.5246487707
182	0.5235930446
183	0.5228450744
184	0.5221114951
185	0.5214060188
186	0.5206717894
187	0.5199462424
188	0.5192581933
189	0.5185903024
190	0.5176957894
191	0.5170005898
192	0.5163285305
193	0.5156699618
194	0.5149879395
195	0.5143264395
196	0.5136953458
197	0.5130377172
198	0.5120884074
199	0.5114055304
200	0.5107213742
201	0.5100651947
202	0.5094247598
203	0.5087714055
204	0.5081618182
205	0.5075716054
206	0.5069543304
207	0.5063105376
208	0.5056081128
209	0.5050084712
210	0.5042418834
211	0.5036900891
212	0.5030921902
213	0.5025163883
214	0.5016881849
215	0.5010809232
216	0.5004605377
217	0.499526767
218	0.4989703373
219	0.4984212237
220	0.4978494295
221	0.4972859911
222	0.4967237774
223	0.4960100341
224	0.4951716473
225	0.4946124836
226	0.4940712671
227	0.4935376694
228	0.4928395536
229	0.4921721198
230	0.4914756373
231	0.4909721349
232	0.4902980551
233	0.4897952137
234	0.4892712792
235	0.4887730412
236	0.4881278162
237	0.4876249861
238	0.4869527649
239	0.485946058
240	0.485430306
241	0.4848670429
242	0.4839817666
243	0.4834600721
244	0.4829785015
245	0.4825151753
246	0.4820266705
247	0.4814493563
248	0.480550744
249	0.4801099868
250	0.4796285843
251	0.4791556089
252	0.4783140287
253	0.4777867931
254	0.4772759534
255	0.476818766
256	0.4762273335
257	0.4757901751
258	0.4753432185
259	0.4748427925
260	0.4743558944
261	0.4733055837
262	0.472885833
263	0.4724587856
264	0.4718988125
265	0.471491127
266	0.4710751766
267	0.4699506782
268	0.4694477241
269	0.4689859115
270	0.468472408
271	0.4678176018
272	0.4673965798
273	0.4669584289
274	0.4663142557
275	0.465890714
276	0.4654429149
277	0.4650293053
278	0.4645932943
279	0.4641843655
280	0.4635044363
281	0.4630994928
282	0.4627007724
283	0.4620917535
284	0.4616116904
285	0.4611396144
286	0.4607394132
287	0.4602448537
288	0.4598679475
289	0.4592425739
290	0.4588406345
291	0.4582545887
292	0.4578832081
293	0.4574564385
294	0.4570879625
295	0.456522983
296	0.4559827408
297	0.4555314675
298	0.4551034498
299	0.4546411944
300	0.454191955
301	0.4537899109
302	0.4533458729
303	0.4529316554
304	0.4525761379
305	0.4521400079
306	0.451686321
307	0.4513216747
308	0.4508217937
309	0.4501974165
310	0.449816302
311	0.4494194887
312	0.4490368753
313	0.4481595967
314	0.4477799863
315	0.4473731424
316	0.4470339154
317	0.4465254012
318	0.4461984896
319	0.4457783144
320	0.4454185284
321	0.4450754539
322	0.444711693
323	0.444336582
324	0.4436819684
325	0.4433009902
326	0.4423857388
327	0.4418798484
328	0.4415696
329	0.4410863876
330	0.4406194198
331	0.4402028874
332	0.4397704832
333	0.439080854
334	0.4387374927
335	0.4383516645
336	0.4379876553
337	0.4376582815
338	0.4373550427
339	0.4366118996
340	0.4357905541
341	0.4353695381
342	0.4350594285
343	0.4347615416
344	0.4344202594
345	0.4341064928
346	0.4337949041
347	0.4334762246
348	0.4331215154
349	0.4326077052
350	0.4323086019
351	0.431949216
352	0.4316478766
353	0.4312026399
354	0.4308248007
355	0.4303635808
356	0.4300100852
357	0.4296355227
358	0.4293086956
359	0.4288706147
360	0.4285641136
361	0.4282485192
362	0.4279216611
363	0.4275728097
364	0.4272506694
365	0.4268219098
366	0.426534366
367	0.426194586
368	0.4254641406
369	0.4251722613
370	0.4248168697
371	0.4244887019
372	0.4242254472
373	0.423873563
374	0.4235085068
375	0.4231533071
376	0.4227448389
377	0.4224571
378	0.4221427212
379	0.4217635582
380	0.42138928
381	0.4211055732
382	0.420832674
383	0.4205041729
384	0.4201909963
385	0.4197959725
386	0.4194270329
387	0.4191040268
388	0.4188209323
389	0.4185684994
390	0.4182346547
391	0.4179163108
392	0.4175402209
393	0.4171836399
394	0.4163288144
395	0.4159919745
396	0.4156543325
397	0.4153993697
398	0.4151461476
399	0.4145723467
400	0.4142244415
401	0.4139249548
402	0.4132123401
403	0.4129278286
404	0.4126872058
405	0.4122684291
406	0.4119461063
407	0.4116727861
408	0.4109803236
409	0.410677878
410	0.4103994497
411	0.4100793197
412	0.4098509694
413	0.409592153
414	0.4093231067
415	0.4089801072
416	0.4087315539
417	0.4082415957
418	0.4079502003
419	0.4073260053
