iter	R2	RMSE
0	-71.15407545	8.08811837
1	-37.31464664	5.893855415
2	-19.56483092	4.317970162
3	-10.23820503	3.192019539
4	-5.355827593	2.400507789
5	-2.710774784	1.834211296
6	-1.358285672	1.462228592
7	-0.6093788737	1.207942366
8	-0.2166153011	1.050252448
9	-0.01594042891	0.9597346772
10	0.09742202053	0.9046059339
11	0.1726978216	0.8660623306
12	0.2157220694	0.8432416755
13	0.2419169599	0.8290399439
14	0.2611950271	0.8184308106
15	0.2795218163	0.8082160726
16	0.2937166243	0.8002147595
17	0.300986099	0.7960859728
18	0.3085609843	0.7917608186
19	0.3154807788	0.7877889579
20	0.3219545334	0.7840549007
21	0.3297752597	0.7795200551
22	0.3356317413	0.7761068257
23	0.3433147546	0.7716061753
24	0.3496850169	0.7678545207
25	0.3547539494	0.7648561145
26	0.3620996115	0.7604899843
27	0.3682706634	0.7568025524
28	0.373347141	0.7537556458
29	0.3782614554	0.7507942908
30	0.3824851216	0.7482397537
31	0.3875536829	0.7451626511
32	0.3925549182	0.742113916
33	0.3971564085	0.7392977589
34	0.4014038962	0.7366887
35	0.4055862731	0.7341105754
36	0.4098601644	0.7314666519
37	0.4142166398	0.7287617682
38	0.418278835	0.7262305229
39	0.4218043252	0.7240265378
40	0.4254056419	0.7217682005
41	0.4289723905	0.719524554
42	0.4324278558	0.7173442174
43	0.4359418458	0.7151201352
44	0.4392568537	0.7130156338
45	0.4422243056	0.7111264924
46	0.4453749003	0.7091152501
47	0.4482797799	0.7072557969
48	0.4513637203	0.7052763596
49	0.4542260765	0.7034341627
50	0.4570816129	0.7015915352
51	0.459949189	0.6997362556
52	0.4624592316	0.6981082483
53	0.4649414383	0.696494553
54	0.467562058	0.6947868074
55	0.4699688897	0.6932146721
56	0.4723653507	0.6916457604
57	0.474831048	0.690027798
58	0.4773078466	0.6883987225
59	0.4796678829	0.6868428506
60	0.48190052	0.6853677165
61	0.4841204496	0.6838978237
62	0.4864026441	0.6823834026
63	0.4888013301	0.6807880486
64	0.4908807817	0.6794019844
65	0.493220477	0.6778390654
66	0.4953589237	0.6764074221
67	0.4973231634	0.6750897314
68	0.4993536495	0.6737248909
69	0.5013398029	0.6723871695
70	0.5032286744	0.6711124959
71	0.5051750061	0.6697965086
72	0.5069423737	0.6685992817
73	0.5088678034	0.6672925377
74	0.5105195686	0.6661694808
75	0.5123008683	0.6649562259
76	0.5141415991	0.663700162
77	0.5156567716	0.6626644637
78	0.517317956	0.6615270952
79	0.5189739095	0.6603913587
80	0.5207352727	0.6591811792
81	0.5223968998	0.6580374853
82	0.524057165	0.65689274
83	0.5256873476	0.655766792
84	0.5272412638	0.6546917178
85	0.5287263668	0.6536625995
86	0.5303452226	0.6525389467
87	0.5318371415	0.6515016853
88	0.5333647196	0.6504379178
89	0.5347628318	0.6494627801
90	0.5362104849	0.6484515438
91	0.5376909103	0.6474157815
92	0.5390643781	0.6464533668
93	0.5404282703	0.645496242
94	0.5418406702	0.6445035782
95	0.5432587281	0.6435053974
96	0.5446910178	0.6424956245
97	0.5461279001	0.6414810168
98	0.5474695049	0.6405322352
99	0.5488156362	0.639578838
